"Two-Factor Authentication Setup","Two-Factor authenticatie setup"
"Two-Factor Authentication","Two-Factor authenticatie"
"Two-Factor Authentication already configured. Contact support if you wish to reset it.","Two-Factor authenticatie is geconfigureerd. Neem contact met ons op als u dit wilt resetten."
"Authentication Code","Authenticatiecode"
"Authenticate", "Authenticeer"
"2FA successfully set up","Two-Factor authenticatie succesvol geconfigureerd"
"Invalid 2FA Authentication Code","Foutieve authenticatiecode opgegeven"
"Download a 2FA app on your phone to scan the QR code and get the authentication code, for example Google Authenticator or Authy.","Download een 2FA app op je telefoon om de QR-code te scannen en de authenticatiecode te genereren, zoals Google Authenticator of Authy."
"You need to set up Two Factor Authentication before continuing.","Je moet Two-Factor authenticatie configueren alvorens verder te gaan."
"Open your 2FA app (for example Google Authenticator or Authy) and enter the 6-digit code to log in.","Open je 2FA app op je telefoon (bijvoorbeeld Google Authenticator of Authy) en voer de 6-cijferige code in om in te loggen."
"Two Factor Authentication successful","Two-Factor authenticatie succesvol"
"Two Factor Authentication code incorrect","Two-Factor authenticatie code is incorrect"
